"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","Cell-Cell communication","0.000151011778918756","0.00777138618295824","0.451849639647346","1.9522006975975","0","128","5817::55679::87::3688::2318::3909::55243::2316::2534::3918::3655::3914::8826::25945::81::9074::1308::9076::6709::54751::1499::6714::667::5010::6711::10686::1000::56288::1004::55742::84063::5829::5584::3691::9071::51208::5339::10326::3861::1006::71::1001::8935::1495::149461::1009::9863::89::3852::4690::1500::9080::64398::84623::1002::5819::7408"
"2","Cell surface interactions at the vascular wall","0.00015044380923725","0.00777138618295824","0.536162713442334","2.33240362161029","0","136","7040::857::6403::3688::440533::3678::5673::3675::2621::5678::2534::3897::3655::5680::5676::5670::2817::5675::3932::1278::960::4973::57126::6566::10544::2335::5669::5671::9056::6404::6714::8793::9123::6385::5672::5627::4067::3690::7010::56301::5624::83692::483::3689::8795::3687::1277::285::3676::972::2734::2994::4893::682::3684::7525::284::23657"
"3","Cilium Assembly","0.000145158949049209","0.00777138618295824","0.400878373395021","1.83682581487959","0","198","192668::166379::22897::57560::79659::79867::22919::57545::23322::132320::57576::50807::26005::9793::51098::5311::10382::22981::55212::3797::55081::3842::55125::4867::84902::22832::121441::203068::983::10575::26123::347733::1778::84617::10381::5048::79989::1639::28981::55770::80776::79959::27241::23354::4751::7846::55835::7277::84790::11064::6608::91147::57728::7840::27077::57539::9371::79738::8729::10733::9702::9738::10121::80184::10576::11127::80321::9662::6102::5347::11190::5518::11116::51807::8100::22994::585::403::22995::10640::26160::80254"
"4","Collagen formation","0.000157257430413587","0.00777138618295824","0.675887303136175","2.76256406634307","0","90","871::23127::3909::55214::1291::1301::3918::3655::1282::64175::140766::3914::80781::1292::1299::1288::1295::4017::1278::1284::4015::10536::1308::1305::136227::1303::1297::26577::1515::667::4016::1310::5351::649::85301::8974::9508::1290::1296::3691::1287::7093::1285::1286::1277::5339::1508::4318::1289::1307::1306::5352::1281::79709::7092::9313::10491::84171"
"5","Dissolution of Fibrin Clot","0.000181950509461427","0.00777138618295824","0.828044398675173","2.19117064922459","0","13","5328::5345::5329::302::5327::5054::5055::6281::5271::5270::3273"
"6","ECM proteoglycans","0.000159337157425112","0.00777138618295824","0.642424774681966","2.55017057932449","0","76","3339::7040::3915::3688::3908::3912::3909::4038::1291::6678::1282::1292::1299::1288::7042::1278::1284::3911::2335::8785::1297::284217::5054::3690::1605::1290::4148::1462::1463::375790::1287::1285::1286::351::3687::1277::4593::7448"
"7","Extracellular matrix organization","0.000136855070480361","0.00777138618295824","0.568948839048885","2.73093874414025","0","297","4323::3339::7040::7077::3915::871::87::3688::23127::3908::3912::8076::3909::3678::8728::4038::3675::55214::1291::1301::6678::3918::3655::1282::64175::140766::3914::10893::7087::80781::1292::1299::1288::1295::2201::7042::4017::1278::960::50859::170690::4237::8754::1284::4015::6868::10536::1308::3911::1305::136227::4054::30008::1303::2247::2335::8785::1297::284217::3696::7057::26577::84467::1515::667::4016::650::1310::6385::4811::23385::5054::652::5351::649::3690::26254::85301::1605::8974::7076::59277::9508::1290::4319::5045::1296::11095::4148::9644::1462::4053::1463::824::3383::2200::375790::4313::3691::170692::5650::1287::7093::3689::5578::1285::8425::1286::351::3687::1277::4593::5339::1508::7448::4327::823::3676::56999::4318::1289::1307::10319::1306::3910::4320::4239::101::2266::3672::5654::5352::6696::1281::79709::682::7092::2202::3684::8038::3384::1634::9313::10491::3381::84171::3693::1513"
"8","Glycosaminoglycan metabolism","0.00015135462388376","0.00777138618295824","0.461108742947133","1.98314319090704","0","124","3339::29940::1836::9653::2132::2131::93010::9469::2817::1464::56548::960::79411::10855::5549::9331::166012::11081::6385::10678::138050::57214::6483::26035::135152::22856::2799::8692::11041::3037::55454::1462::9957::1463::3073::375790::337876::3038::411"
"9","GPCR ligand binding","0.000129015610888918","0.00777138618295824","0.308759233542872","1.53901565384528","0","450","80326::8324::2535::257313::154::2357::1901::7476::51384::259292::4543::64106::57486::54331::301::57121::84109::6375::3269::186::2691::10203::2840::10266::976::5745::94233::147::8323::9294::6373::554::5737::4160::133::552::2015::4922::5540::1902::7479::2550::79948::1906::8698::1813::259289::136::5744::2790::2925::56670::7473::3358::2793::6374::116::553::1604::7481::6364::134860::6915::2864::3576::4986::2920::4987::3352::1889::351::2919::7504::5732::7475::846::2784::10874::5995::2358::5660::718::2862::1240::2150::7201::4988::10663::2922::2641::10911::6608::1910::5021::2149::2913::84634::9290::4829::3375::9038::50835::259290::886::55970::2791::2826::9890::10267::3814::2921::5028::59345::6846::1132::4283::10681::23566::2796::5727::5734::9340::259287::7472::51083::128674::50840::283869::3972::2151::2587::4159::29933::2863::3350::4828::10022::611::3827::185::90226::728"
"10","Interleukin-4 and Interleukin-13 signaling","0.000154083204930663","0.00777138618295824","0.433169547560689","1.82260731073381","0","108","7040::3688::7184::1901::6624::332::3976::1278::598::3569::5743::301::3911::3593::2247::2335::5292::9655::7431::9021::7076::8651::3383::4313::3576::3689::3687::3091::4988::3561::4318::6935::4843::6772::3552::3718::3684::595::3553::3606::3598::3592"
